Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
138.5097,53,Female,None,Low,Lagging,Low,0.8038585,1.2,0.6920863,0.6,68
142.6083,66,Female,None,Low,Lagging,Medium,0.8403361,1.6,0.9426576,0.8,72
146.4,98,Female,None,Low,Lagging,High,1.587302,1.6,1.30204,1.4,67
150.3839,59,Male,None,Low,Lagging,Medium,0.8264462,1.4,0.9655628,0.8,73
150.6859,78,Female,None,Low,Lagging,Medium,0.9276438,1.4,0.8860922,0.8,69
150.8897,97,Female,None,Low,Lagging,Low,1.470588,1.2,0.9019867,1,73
152.0921,98,Male,None,Low,Lagging,Medium,1.298701,1.4,0.9882357,0.8,75
155.5911,82,Female,WakingStick,Low,Lagging,Low,1.116196,1.2,0.9153846,1,66
156.6013,70,Male,None,Low,Lagging,Medium,0.8695652,1.2,1.113376,0.8,70
161.5087,99,Male,None,Low,Lagging,Low,1.315789,1.2,0.9271604,1,69
166.8893,98,Female,None,Low,Lagging,Low,1.587302,1.2,0.8107787,0.8,67
174.2935,86,Male,None,Low,Lagging,Low,1.010101,1.2,0.8377144,0.8,63
189.4049,89,Male,WakingStick,Low,Lagging,Medium,1.22549,1.6,1.063158,1,66
